Text1,Text2,Doc,Event,Label
Rain hailCYCLONEs lash [PLACE-ARG] Delhi [PLACE-ARG],It was a wet Friday morning in the [PLACE-ARG] capital [PLACE-ARG]  after a night of heavy rain and even hail in many parts the Indian Meteorological Department IMD said, Rain hailCYCLONEs lash Delhi.  It was a wet Friday morning in the capital  after a night of heavy rain and even hail in many parts the Indian Meteorological Department IMD said.  The cloud cover over the city saw a slight increase in temperature with the minimum temperature recorded four notches above average at 11.3 degrees Celsius.  The maximum temperature is expected to be around 18 degrees Celsius the IMD official added.  More rain and hailCYCLONEs are expected in the day the weather office said.  The city recorded a total of 21 mm of rain.  HailCYCLONE and rainfall are normal for this time of year.  It is an impact of the western disturbance an IMD official said.  There was no fog and visibility was a good 2600 meters at 8.30 a.m. Humidity recorded was 100 percent.  Thursdays maximum temperature was a notch above at 20.8 degrees Celsius while the minimum temperature settled three notches above average at 9.7 degrees Celsius. ,STORM,1
SHILLONG A moderate intensity earthquake measuring 47 on the Richter scale hit Meghalaya on [TIME-ARG] Monday [TIME-ARG],The quake occurred at [TIME-ARG] 905 am [TIME-ARG], Earthquake hits Meghalaya.  SHILLONG: A moderate intensity earthquake measuring 4.7 on the Richter scale hit Meghalaya on Monday.  There was no report of any casualty.  Officials at the Regional Seismological Centre here said the epicenter was at a depth of 60 km in the East Garo Hills district.  The quake occurred at 9.05 am. The northeastern states fall in Zone 5 of the countrys earthquake zoning map with the highest level of seismicity. ,EARTHQUAKE,0
Earthquake hits [PLACE-ARG] Meghalaya [PLACE-ARG],Earthquake hits [PLACE-ARG] Meghalaya [PLACE-ARG], Earthquake hits Meghalaya.  SHILLONG: A moderate intensity earthquake measuring 4.7 on the Richter scale hit Meghalaya on Monday.  There was no report of any casualty.  Officials at the Regional Seismological Centre here said the epicenter was at a depth of 60 km in the East Garo Hills district.  The quake occurred at 9.05 am. The northeastern states fall in Zone 5 of the countrys earthquake zoning map with the highest level of seismicity. ,EARTHQUAKE,1
The first blast on [TIME-ARG] Tuesday evening [TIME-ARG]  hit worshippers leaving a mosque in Benghazis central Al Salmani district,The second about [TIME-ARG] 15 minutes later [TIME-ARG]  inflicted a large number of asualties among people who had gathered at the scene, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,0
Toll rises to 35 dead in [PLACE-ARG] Benghazi [PLACE-ARG]  car bombing say medics,BENGHAZI The toll from a twin car bombing in [PLACE-ARG] Libyas eastern city of Benghazi [PLACE-ARG]  rose to 35 on Wednesday  with about 60 people wounded medical officials said, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
Toll rises to 35 dead in [PLACE-ARG] Benghazi [PLACE-ARG]  car bombing say medics,The first blast on Tuesday evening hit worshippers leaving a [PLACE-ARG] mosque in Benghazis central Al Salmani district [PLACE-ARG], Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
BENGHAZI The toll from a twin car bombing in [PLACE-ARG] Libyas eastern city of Benghazi [PLACE-ARG]  rose to 35 on Wednesday  with about 60 people wounded medical officials said,The first blast on Tuesday evening hit worshippers leaving a [PLACE-ARG] mosque in Benghazis central Al Salmani district [PLACE-ARG], Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
Toll rises to [CASUALTIES-ARG] 35 dead [CASUALTIES-ARG]  in Benghazi car bombing say medics,Toll rises to [CASUALTIES-ARG] 35 [CASUALTIES-ARG]  dead in Benghazi car bombing say medics, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
Toll rises to [CASUALTIES-ARG] 35 dead [CASUALTIES-ARG]  in Benghazi car bombing say medics,BENGHAZI The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about [CASUALTIES-ARG] 60 people wounded [CASUALTIES-ARG]  medical officials said, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,0
Toll rises to [CASUALTIES-ARG] 35 dead [CASUALTIES-ARG]  in Benghazi car bombing say medics,The second about 15 minutes later inflicted a [CASUALTIES-ARG] large number of asualties [CASUALTIES-ARG]  among people who had gathered at the scene, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1
