Text,,Doc,Event,Label,
BENGHAZI The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on [TIME-ARG] Wednesday [TIME-ARG]   with about 60 people wounded medical officials said,, Toll rises to 35 dead in Benghazi car bombing say medics.  BENGHAZI: The toll from a twin car bombing in Libyas eastern city of Benghazi rose to 35 on Wednesday with about 60 people wounded medical officials said.  The first blast on Tuesday evening hit worshippers leaving a mosque in Benghazis central Al Salmani district.  The second about 15 minutes later inflicted a large number of asualties among people who had gathered at the scene.  Senior security officials were among the casualties.  The toll was one of the highest from a single attack since Libya slid into turmoil after the uprising that toppled Muammar Gaddafi in 2011 Benghazi is controlled by the Libyan National Army LNA which is led by powerful eastern-based commander Khalifa Haftar and was battling Islamists and other opponents in the port city until late last year. ,TERRORIST_ATTACK,1,
The blasts [TIME-ARG] follow weeks [TIME-ARG]  of relative calm in Mogadishu,, Death toll rises to 38 in Mogadishu bombings.  MOGADISHU: Two car bombings killed 38 people in the Somali capital Mogadishu on Friday the citys main ambulance service told AFP on Saturday.  We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the presidential palace and a hotel.  The first blast followed by gunfire occurred at a security checkpoint close to Villa Somalia the name for the seat of government while a second followed soon after at a hotel according to police.  The Shabaab Islamist militant group claimed the attacks in a statement posted online saying it was targeting the government and security services.  The blasts follow weeks of relative calm in Mogadishu.  According to officials the main attack involved the use of a vehicle loaded with explosives attempting to breach a checkpoint leading to the presidential palace but security forces prevented the assault.  The security forces foiled the intent of the terrorists.  They were aiming for key targets but they could not even go closer there were five of them killed by the security force said Abdulahi Ahmed a security officer.  The Shabaab is fighting to overthrow Somalias internationally-backed government.  In October it carried out its deadliest-ever bombing killing over 500 people.  In the wake of that attack Somalias government declared a fresh offensive against the group and US drone strikes have increased in frequency.  While the militant group was pushed out of the capital in 2011 by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets. ,TERRORIST_ATTACK,1,
In [TIME-ARG] October [TIME-ARG]  it carried out its deadliestever bombing killing over 500 people,, Death toll rises to 38 in Mogadishu bombings.  MOGADISHU: Two car bombings killed 38 people in the Somali capital Mogadishu on Friday the citys main ambulance service told AFP on Saturday.  We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the presidential palace and a hotel.  The first blast followed by gunfire occurred at a security checkpoint close to Villa Somalia the name for the seat of government while a second followed soon after at a hotel according to police.  The Shabaab Islamist militant group claimed the attacks in a statement posted online saying it was targeting the government and security services.  The blasts follow weeks of relative calm in Mogadishu.  According to officials the main attack involved the use of a vehicle loaded with explosives attempting to breach a checkpoint leading to the presidential palace but security forces prevented the assault.  The security forces foiled the intent of the terrorists.  They were aiming for key targets but they could not even go closer there were five of them killed by the security force said Abdulahi Ahmed a security officer.  The Shabaab is fighting to overthrow Somalias internationally-backed government.  In October it carried out its deadliest-ever bombing killing over 500 people.  In the wake of that attack Somalias government declared a fresh offensive against the group and US drone strikes have increased in frequency.  While the militant group was pushed out of the capital in 2011 by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets. ,TERRORIST_ATTACK,1,
While the militant group was pushed out of the capital in [TIME-ARG] 2011 [TIME-ARG]  by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets,, Death toll rises to 38 in Mogadishu bombings.  MOGADISHU: Two car bombings killed 38 people in the Somali capital Mogadishu on Friday the citys main ambulance service told AFP on Saturday.  We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the presidential palace and a hotel.  The first blast followed by gunfire occurred at a security checkpoint close to Villa Somalia the name for the seat of government while a second followed soon after at a hotel according to police.  The Shabaab Islamist militant group claimed the attacks in a statement posted online saying it was targeting the government and security services.  The blasts follow weeks of relative calm in Mogadishu.  According to officials the main attack involved the use of a vehicle loaded with explosives attempting to breach a checkpoint leading to the presidential palace but security forces prevented the assault.  The security forces foiled the intent of the terrorists.  They were aiming for key targets but they could not even go closer there were five of them killed by the security force said Abdulahi Ahmed a security officer.  The Shabaab is fighting to overthrow Somalias internationally-backed government.  In October it carried out its deadliest-ever bombing killing over 500 people.  In the wake of that attack Somalias government declared a fresh offensive against the group and US drone strikes have increased in frequency.  While the militant group was pushed out of the capital in 2011 by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets. ,TERRORIST_ATTACK,1,
We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the [PLACE-ARG] presidential palace [PLACE-ARG]  and a hotel,, Death toll rises to 38 in Mogadishu bombings.  MOGADISHU: Two car bombings killed 38 people in the Somali capital Mogadishu on Friday the citys main ambulance service told AFP on Saturday.  We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the presidential palace and a hotel.  The first blast followed by gunfire occurred at a security checkpoint close to Villa Somalia the name for the seat of government while a second followed soon after at a hotel according to police.  The Shabaab Islamist militant group claimed the attacks in a statement posted online saying it was targeting the government and security services.  The blasts follow weeks of relative calm in Mogadishu.  According to officials the main attack involved the use of a vehicle loaded with explosives attempting to breach a checkpoint leading to the presidential palace but security forces prevented the assault.  The security forces foiled the intent of the terrorists.  They were aiming for key targets but they could not even go closer there were five of them killed by the security force said Abdulahi Ahmed a security officer.  The Shabaab is fighting to overthrow Somalias internationally-backed government.  In October it carried out its deadliest-ever bombing killing over 500 people.  In the wake of that attack Somalias government declared a fresh offensive against the group and US drone strikes have increased in frequency.  While the militant group was pushed out of the capital in 2011 by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets. ,TERRORIST_ATTACK,1,
In October it carried out its deadliestever bombing [CASUALTIES-ARG] killing over 500 people [CASUALTIES-ARG],, Death toll rises to 38 in Mogadishu bombings.  MOGADISHU: Two car bombings killed 38 people in the Somali capital Mogadishu on Friday the citys main ambulance service told AFP on Saturday.  We have seen at least 38 people dead said Abdukadir Abdurahman Aden of the Aamin Ambulance of the bombings that targeted the presidential palace and a hotel.  The first blast followed by gunfire occurred at a security checkpoint close to Villa Somalia the name for the seat of government while a second followed soon after at a hotel according to police.  The Shabaab Islamist militant group claimed the attacks in a statement posted online saying it was targeting the government and security services.  The blasts follow weeks of relative calm in Mogadishu.  According to officials the main attack involved the use of a vehicle loaded with explosives attempting to breach a checkpoint leading to the presidential palace but security forces prevented the assault.  The security forces foiled the intent of the terrorists.  They were aiming for key targets but they could not even go closer there were five of them killed by the security force said Abdulahi Ahmed a security officer.  The Shabaab is fighting to overthrow Somalias internationally-backed government.  In October it carried out its deadliest-ever bombing killing over 500 people.  In the wake of that attack Somalias government declared a fresh offensive against the group and US drone strikes have increased in frequency.  While the militant group was pushed out of the capital in 2011 by an African Union force it continues to control large parts of the countryside and launches regular attacks on government military and civilian targets. ,TERRORIST_ATTACK,1,
A landslide on Bali in [TIME-ARG] February [TIME-ARG]  killed 12 people including three children,, Indonesia cyclone death toll more than doubles to 41 JAKARTA: A tropical cyclone that pounded Indonesias main island of Java has killed 41 people the countrys disaster agency said on Tuesday more than double the initial toll with tens of thousands displaced by severe flooding and landslides.  Among the victims of Cyclone Cempaka were 25 people killed by a single landslide in east Java last week the agency said.  The initial cyclone death toll was 19 Some 28000 people have been displaced by the CYCLONE which hit Indonesias most populous island last week.  Almost five thousand homes have been damaged and more than three thousand others were inundated by flooding said agency spokesman Sutopo Purwo Nugroho.  The destruction from the cyclone came as the rumbling Mount Agung volcano on the neighbouring resort island of Bali threatened to erupt forcing tens of thousands to flee their homes.  Cempaka has moved away from Indonesia but Nugroho warned that more flooding and landslides still could happen.  Indonesia is prone to natural disasters and is often hit by floods and landslides.  A landslide on Bali in February killed 12 people including three children.  In almost in floods and landslides in,STORM,1,
A landslide on Bali in February [CASUALTIES-ARG] killed 12 people including three children [CASUALTIES-ARG],, Indonesia cyclone death toll more than doubles to 41 JAKARTA: A tropical cyclone that pounded Indonesias main island of Java has killed 41 people the countrys disaster agency said on Tuesday more than double the initial toll with tens of thousands displaced by severe flooding and landslides.  Among the victims of Cyclone Cempaka were 25 people killed by a single landslide in east Java last week the agency said.  The initial cyclone death toll was 19 Some 28000 people have been displaced by the CYCLONE which hit Indonesias most populous island last week.  Almost five thousand homes have been damaged and more than three thousand others were inundated by flooding said agency spokesman Sutopo Purwo Nugroho.  The destruction from the cyclone came as the rumbling Mount Agung volcano on the neighbouring resort island of Bali threatened to erupt forcing tens of thousands to flee their homes.  Cempaka has moved away from Indonesia but Nugroho warned that more flooding and landslides still could happen.  Indonesia is prone to natural disasters and is often hit by floods and landslides.  A landslide on Bali in February killed 12 people including three children.  In almost in floods and landslides in,STORM,1,
People of Vadakarai said that this is the second time they felt tremors in the [TIME-ARG] last six years [TIME-ARG],, Mild tremors felt near Tenkasi.  TIRUNELVELI: Thousands of residents from villages in and around Tenkasi in Tirunelveli district ran to the road on Wednesday night after feeling mild tremors.  The incident is said to have taken place between 9 to 9.10 pm. Villagers and residents of Melagaram Achampudur Vadakarai Paimpozhil and Tenkasi and from Thirumalaikovil to Thenmalai felt the tremors.  Villagers said that they rushed out of their houses.  Even more than an hour after the incident took place they refused to go back inside.  People of Vadakarai said that this is the second time they felt tremors in the last six years.  The village had also felt tremors in 2001 District collector Sandeep Nanduri told TOI that a few villages in Sengottai Kadayanallur and Tenkasi Taluks felt mild tremors.  The tremors lasted for only two to three seconds.  No damage was reportedhe said and added that the respective tahsildars and revenue officials were asked to inspect the affected places.  Though no untoward incidents were reported we have asked revenue officials to thoroughly study the situation before we ask people to stay calm he added. tnn. ,EARTHQUAKE,1,
The village had also felt tremors in [TIME-ARG] 2001 [TIME-ARG]  District collector Sandeep Nanduri told TOI that a few villages in Sengottai Kadayanallur and Tenkasi Taluks felt mild tremors,, Mild tremors felt near Tenkasi.  TIRUNELVELI: Thousands of residents from villages in and around Tenkasi in Tirunelveli district ran to the road on Wednesday night after feeling mild tremors.  The incident is said to have taken place between 9 to 9.10 pm. Villagers and residents of Melagaram Achampudur Vadakarai Paimpozhil and Tenkasi and from Thirumalaikovil to Thenmalai felt the tremors.  Villagers said that they rushed out of their houses.  Even more than an hour after the incident took place they refused to go back inside.  People of Vadakarai said that this is the second time they felt tremors in the last six years.  The village had also felt tremors in 2001 District collector Sandeep Nanduri told TOI that a few villages in Sengottai Kadayanallur and Tenkasi Taluks felt mild tremors.  The tremors lasted for only two to three seconds.  No damage was reportedhe said and added that the respective tahsildars and revenue officials were asked to inspect the affected places.  Though no untoward incidents were reported we have asked revenue officials to thoroughly study the situation before we ask people to stay calm he added. tnn. ,EARTHQUAKE,1,
